"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"70","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-06 03:50:52",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"71"," $399.00  SAMSUNG Galaxy Watch 3 41mm GPS Bluetooth Smart Watch with Advanced Health @iotcybersec24   SAMSUNG /ORR0uJ4WLd","2021-06-06 03:13:17",FALSE,1,2,Samsung Galaxy,NYC,USA,FALSE
"72","RT @cuongcz: ai ml artificialintelligence machinelearning datascience bigdata analytics blockchain tech data @Nicochan33 @TrippBr","2021-06-06 02:54:33",TRUE,3,0,Samsung Galaxy,NYC,USA,FALSE
"73","What is going on. There was waifu earth waifu tide pot waifu game consoles waifu internet browsers and now ther /X6EvQQgQIW","2021-06-06 02:23:14",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"74","RT @iotcybersec24:  $82.99  SAMSUNG Galaxy Fit Black Bluetooth SMR370NZKAXAR  US Version with Warranty @iotcybersec24   SAMSUNG Galaxy","2021-06-06 02:13:47",TRUE,4,0,Samsung Galaxy,NYC,USA,FALSE
"75","RT @iotcybersec24:  $82.99  SAMSUNG Galaxy Fit Black Bluetooth SMR370NZKAXAR  US Version with Warranty @iotcybersec24   SAMSUNG Galaxy","2021-06-06 02:07:43",TRUE,4,0,Samsung Galaxy,NYC,USA,TRUE
"76","RT @iotcybersec24:  $82.99  SAMSUNG Galaxy Fit Black Bluetooth SMR370NZKAXAR  US Version with Warranty @iotcybersec24   SAMSUNG Galaxy","2021-06-06 02:05:35",TRUE,4,0,Samsung Galaxy,NYC,USA,TRUE
"77"," $82.99  SAMSUNG Galaxy Fit Black Bluetooth SMR370NZKAXAR  US Version with Warranty @iotcybersec24   SAMSUNG /oMj7tPyfxV","2021-06-06 02:05:27",FALSE,4,0,Samsung Galaxy,NYC,USA,FALSE
"78","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 23:10:57",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"79","After codification of SME advises I decided to choose Samsung Galaxy Mobile devise for future mobile devise develo /10bsXKgs7F","2021-06-05 23:05:56",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"80","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 22:34:27",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"81","The Samsung Galaxy S20 Plus offers a smartphone with excellent 5G connectivity features.  /4qP2vAV04s","2021-06-05 22:18:27",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"82","@Inspirar_ng @NF_said_ @maxvayshia The one in Google play store is fake one please dont use it oh if you don't want /kN82qmEuro","2021-06-05 22:00:44",FALSE,0,-1,Samsung Galaxy,NYC,USA,FALSE
"83","I own a loaner Samsung Galaxy S21 can si draw the hot Samsung girl","2021-06-05 21:27:55",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"84","RT @iotcybersec24:  $115.00  SAMSUNG Galaxy Watch Active 40mm Black  US Version with Warranty Renewed @iotcybersec24   SAMSUNG Galaxy ","2021-06-05 21:27:01",TRUE,2,1,Samsung Galaxy,NYC,USA,FALSE
"85"," $115.00  SAMSUNG Galaxy Watch Active 40mm Black  US Version with Warranty Renewed @iotcybersec24   SAMSUNG /Xy1HB0v17r","2021-06-05 21:24:45",FALSE,2,1,Samsung Galaxy,NYC,USA,FALSE
"86","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 21:01:16",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"87","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 20:52:44",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"88","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 20:12:12",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"89","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 19:37:42",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"90","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 18:11:49",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"91","Samsung's stunning Galaxy Z Flip 5G is on sale at an irresistible price (with acatch) /ZjVJtcyOxE","2021-06-05 17:55:53",FALSE,0,2,Samsung Galaxy,NYC,USA,FALSE
