"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"66","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-05 03:50:41",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"67","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-05 03:49:35",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"68","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-05 03:44:42",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"69","Verizon Deals: Samsung Galaxy S9 SM-G960U Verizon AT&amp;T T-Mobile 64GB Unlocked Phone New Sealed /xFQ3nJsm6F","2021-06-05 03:21:04",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"70","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-05 03:09:50",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"71","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-05 02:56:24",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"72","RT @Androidheadline: Galaxy Z Fold 3 Will Be Thicker Than Its Predecessor For A Good Reason /qU1w1PffYp android","2021-06-05 02:23:05",TRUE,1,0,Samsung Galaxy,LA,USA,FALSE
"73","Latest June 2021 Security Update Arrives To The Galaxy S10 Series /yRbX5CclmZ android","2021-06-05 02:10:01",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"74","Galaxy Z Fold 3 Will Be Thicker Than Its Predecessor For A Good Reason /qU1w1PffYp android","2021-06-05 02:00:00",FALSE,1,0,Samsung Galaxy,LA,USA,FALSE
"75","""Behind the scenes the Silicon Valley company is working on a new technology called ""reverse wireless charging."" /1fBbz6EsBP","2021-06-05 00:11:16",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"76","@oniisuna But Sam!!! What else will I use to take pics of my Samsung Galaxy?  /PuRNewfblC","2021-06-04 22:48:47",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"77","Galaxy A22 A22 5G Leaks Continue Launch Just Around The Corner /MFYv753byU android","2021-06-04 22:00:32",FALSE,0,-1,Samsung Galaxy,LA,USA,FALSE
"78","@cfarivar I really like my Galaxy Buds+ but I'm not sure how the experience is if you don't have a Samsung phone (I do).","2021-06-04 21:53:41",FALSE,0,1,Samsung Galaxy,LA,USA,FALSE
"79","@Horny_Lynxy I would want a fuccin Samsung Galaxy tablet. Thanks.","2021-06-04 20:36:03",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"80","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-04 19:45:21",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"81","Excited to see the new Snapdragon 7c Gen 2 platform powering the latest @Samsung Galaxy Book Go along with the 8c /YeTzzmZlPr","2021-06-04 19:14:41",FALSE,0,1,Samsung Galaxy,LA,USA,FALSE
"82","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-04 18:51:06",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"83","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-04 18:28:00",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"84","@ClaudeL1979 Shop lady and I both agreed about Samsung's use of ""Galaxy"".  It is our opinion misleading.","2021-06-04 18:13:02",FALSE,0,-1,Samsung Galaxy,LA,USA,FALSE
"85","@ClaudeL1979 They literally call ALL THE THINGS Galaxy. It may as well be  Samsung Galaxy Is the company  Or ""Galax /CvwguwjDAu","2021-06-04 18:09:03",FALSE,0,1,Samsung Galaxy,LA,USA,FALSE
"86","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-04 17:04:47",TRUE,196,0,Samsung Galaxy,LA,USA,TRUE
"87","Galaxy A22 &amp; A22 5G Are Official With Quite A Few Differences /T7nrNIKvTq android","2021-06-04 17:00:38",FALSE,1,0,Samsung Galaxy,LA,USA,FALSE
"88","Samsung calls all their fucking phones and tablets ""Galaxy"". Fuck. It may as well be the word ""android"".  If it's n /O67T2Ht0lh","2021-06-04 16:32:08",FALSE,0,-1,Samsung Galaxy,LA,USA,FALSE
