"","tweet","date","isretweet","retweets","score","product","city","country","duplicated"
"74",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 16-17-10,TRUE,6,0,Apple iPhone,LA,USA,TRUE
"75",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 16-13-56,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"76",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /XC9mV6j7Uv,2021-06-06 16-13-36,FALSE,6,0,Apple iPhone,LA,USA,FALSE
"77",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 16-07-56,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"78",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 15-54-25,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"79",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 15-51-23,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"80",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 15-50-20,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"81",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 15-49-56,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"82",RT @iDropNews: We're giving away another iPhone 12 Pro Max absolutely free!  Follow the link and earn your chances to win. (ARV: $1,099) h,2021-06-06 15-49-42,TRUE,1374,2,Apple iPhone,LA,USA,FALSE
"83",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 15-45-22,TRUE,7,1,Apple iPhone,LA,USA,TRUE
